,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Genre,Like or not like,Percent
0,0.0583,https://api.spotify.com/v1/audio-analysis/5lNuqFVMca4vPupY10cH0J,0.736,223387,0.613,5lNuqFVMca4vPupY10cH0J,0,10,0.11,-6.985,1,0.175,112.951,4,https://api.spotify.com/v1/tracks/5lNuqFVMca4vPupY10cH0J,audio_features,spotify:track:5lNuqFVMca4vPupY10cH0J,0.568,1,1,0.990553256
1,0.414,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,0.748,244960,0.524,7BKLCZ1jbUBVqRi2FVlTVw,0,8,0.111,-5.599,1,0.0338,95.01,4,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.635,1,1,0.7878149
2,0.326,https://api.spotify.com/v1/audio-analysis/22GCdQkfU6xJMGxIQUKxLv,0.64,192670,0.673,22GCdQkfU6xJMGxIQUKxLv,0.000543,8,0.108,-5.35,1,0.139,80.43,4,https://api.spotify.com/v1/tracks/22GCdQkfU6xJMGxIQUKxLv,audio_features,spotify:track:22GCdQkfU6xJMGxIQUKxLv,0.611,1,1,0.740062775
3,0.512,https://api.spotify.com/v1/audio-analysis/1YMBg7rOjxzbya0fPOYfNX,0.78,198286,0.764,1YMBg7rOjxzbya0fPOYfNX,1.14E-06,8,0.152,-4.098,1,0.0391,104.988,4,https://api.spotify.com/v1/tracks/1YMBg7rOjxzbya0fPOYfNX,audio_features,spotify:track:1YMBg7rOjxzbya0fPOYfNX,0.545,1,1,0.703557372
4,0.081,https://api.spotify.com/v1/audio-analysis/0Ye1olMyvB2rLjZ4vlYVWI,0.775,161120,0.559,0Ye1olMyvB2rLjZ4vlYVWI,0,8,0.219,-5.89,1,0.0417,100.042,4,https://api.spotify.com/v1/tracks/0Ye1olMyvB2rLjZ4vlYVWI,audio_features,spotify:track:0Ye1olMyvB2rLjZ4vlYVWI,0.418,1,1,0.795786646
5,0.00868,https://api.spotify.com/v1/audio-analysis/6s3GEN8wK0OMzzzZbXj0fu,0.565,212647,0.849,6s3GEN8wK0OMzzzZbXj0fu,4.68E-06,0,0.12,-3.516,0,0.0517,102.034,4,https://api.spotify.com/v1/tracks/6s3GEN8wK0OMzzzZbXj0fu,audio_features,spotify:track:6s3GEN8wK0OMzzzZbXj0fu,0.43,1,1,0.766387955
6,0.00224,https://api.spotify.com/v1/audio-analysis/7foafyqmJYUdhGBpIusueW,0.727,306227,0.85,7foafyqmJYUdhGBpIusueW,0.00843,4,0.412,-4.991,0,0.0425,121.973,4,https://api.spotify.com/v1/tracks/7foafyqmJYUdhGBpIusueW,audio_features,spotify:track:7foafyqmJYUdhGBpIusueW,0.275,1,1,0.884374291
7,0.0113,https://api.spotify.com/v1/audio-analysis/7A0kyzZwkyztNsNeEsTiPX,0.681,266680,0.856,7A0kyzZwkyztNsNeEsTiPX,0.000319,0,0.111,-3.158,0,0.0782,125.962,4,https://api.spotify.com/v1/tracks/7A0kyzZwkyztNsNeEsTiPX,audio_features,spotify:track:7A0kyzZwkyztNsNeEsTiPX,0.284,1,1,0.862255236
8,0.0797,https://api.spotify.com/v1/audio-analysis/63a4UcPRu8LbuOE0PfrWA9,0.659,204609,0.835,63a4UcPRu8LbuOE0PfrWA9,7.45E-05,2,0.2,-2.764,1,0.0416,127.998,4,https://api.spotify.com/v1/tracks/63a4UcPRu8LbuOE0PfrWA9,audio_features,spotify:track:63a4UcPRu8LbuOE0PfrWA9,0.272,1,1,0.883864139
9,0.157,https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK,0.532,208373,0.869,1i1fxkWeaMmKEB4T7zqbzK,0.00508,11,0.136,-5.094,1,0.172,159.803,4,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,audio_features,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,0.419,1,1,0.984014779
10,0.0435,https://api.spotify.com/v1/audio-analysis/3vv9phIu6Y1vX3jcqaGz5Z,0.713,226739,0.802,3vv9phIu6Y1vX3jcqaGz5Z,0.00377,4,0.309,-7.055,1,0.0561,100.001,4,https://api.spotify.com/v1/tracks/3vv9phIu6Y1vX3jcqaGz5Z,audio_features,spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,0.339,1,1,0.981593212
11,0.0501,https://api.spotify.com/v1/audio-analysis/2g1dcVwh2fbCKzbxX2RgwZ,0.544,228307,0.645,2g1dcVwh2fbCKzbxX2RgwZ,0,9,0.185,-6.668,1,0.0409,109.954,4,https://api.spotify.com/v1/tracks/2g1dcVwh2fbCKzbxX2RgwZ,audio_features,spotify:track:2g1dcVwh2fbCKzbxX2RgwZ,0.236,1,1,0.74039238
12,0.113,https://api.spotify.com/v1/audio-analysis/6mDTcLsheIzu5tvaF25kl4,0.607,220773,0.536,6mDTcLsheIzu5tvaF25kl4,0,0,0.0812,-6.735,1,0.0927,100.027,4,https://api.spotify.com/v1/tracks/6mDTcLsheIzu5tvaF25kl4,audio_features,spotify:track:6mDTcLsheIzu5tvaF25kl4,0.461,1,1,0.706804961
13,0.0041,https://api.spotify.com/v1/audio-analysis/1LeItUMezKA1HdCHxYICed,0.749,262957,0.745,1LeItUMezKA1HdCHxYICed,0.395,6,0.0748,-7.367,0,0.0479,115.048,4,https://api.spotify.com/v1/tracks/1LeItUMezKA1HdCHxYICed,audio_features,spotify:track:1LeItUMezKA1HdCHxYICed,0.363,1,1,0.705329589
14,0.0857,https://api.spotify.com/v1/audio-analysis/7zTx8ePYAmPFQuxP3xlXZn,0.57,239853,0.763,7zTx8ePYAmPFQuxP3xlXZn,2.49E-06,1,0.0932,-4.137,1,0.0573,150.088,4,https://api.spotify.com/v1/tracks/7zTx8ePYAmPFQuxP3xlXZn,audio_features,spotify:track:7zTx8ePYAmPFQuxP3xlXZn,0.432,1,1,0.724139207
